yob	sex	age	died	source	freq
1990	m	0	no	in	900
1990	m	0	yes	in	100
1990	m	1	no	in	891
1990	m	1	yes	in	9
1990	m	2	no	in	882.09
1990	m	2	yes	in	8.91
1990	f	0	no	in	500
1990	f	0	yes	in	500
1990	f	1	no	in	495
1990	f	1	yes	in	5
1990	f	2	no	in	490.05
1990	f	2	yes	in	4.95
1990	m	0	no	sim	18025
1990	m	0	yes	sim	1975
1990	m	1	no	sim	17855
1990	m	1	yes	sim	170
1990	m	2	no	sim	17680
1990	m	2	yes	sim	175
1990	f	0	no	sim	11000
1990	f	0	yes	sim	9000
1990	f	1	no	sim	10890
1990	f	1	yes	sim	110
1990	f	2	no	sim	10780
1990	f	2	yes	sim	110
